Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,3,6",426.662,31.801,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,3,7",429.51,31.8009,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,4,5",423.007,31.8016,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,4,6",428.53,31.801,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,4,7",430.786,31.8009,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,5,6",427.336,31.801,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,5,7",432.025,31.8009,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,6,7",434.007,31.801,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"3,4,5",426.145,31.848,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"3,4,6",426.883,31.8457,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"3,4,7",433.603,31.8452,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"3,5,6",427.224,31.8457,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"3,5,7",433.234,31.8452,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"3,6,7",435.468,31.8452,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"4,5,6",427.459,31.8509,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"4,5,7",433.083,31.8504,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"4,6,7",436.908,31.8504,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"5,6,7",435.753,31.8466,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,1,135.415,30.8244,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,2,136.728,30.976,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,3,141.811,31.6784,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,4,141.814,31.6808,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,5,141.519,31.6811,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,6,151.321,31.7035,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,1,7,151.857,31.7113,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"1,2",267.878,30.8647,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"1,3",272.921,31.1133,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"1,4",272.694,31.1121,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"1,5",272.98,31.112,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"1,6",281.839,31.1154,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"1,7",282.749,31.1148,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"2,3",274.475,31.2295,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"2,4",274.787,31.2284,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"2,5",275.354,31.2284,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"2,6",283.035,31.2323,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"2,7",284.587,31.2321,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"3,4",279.081,31.6771,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"3,5",279.333,31.677,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"3,6",290.014,31.6852,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"3,7",288.899,31.6852,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"4,5",279.834,31.6808,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"4,6",287.584,31.689,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"4,7",289.198,31.689,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"5,6",288.721,31.6893,"0,4,6,1,2,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",4,2,"5,7",290.334,31.6893,"0,4,6,1,2,3,5"
