Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"3,4,6",1466.838,32.5499,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"3,4,7",1515.858,32.5949,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"3,5,6",1471.943,32.5484,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"3,5,7",1519.287,32.5928,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"3,6,7",1531.862,32.5959,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"4,5,6",1471.589,32.553,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"4,5,7",1518.224,32.5974,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"4,6,7",1531.477,32.5992,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"5,6,7",1538.022,32.5883,"6,5,1,2,0,3,4"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,1,53.452,12.936,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,2,274.922,33.5485,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,3,278.952,33.7373,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,4,290.527,34.3841,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,5,334.254,34.5592,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,6,518.992,34.6731,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,1,7,519.517,34.6886,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"1,2",313.424,32.5649,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"1,3",317.958,32.7106,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"1,4",328.4,33.149,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"1,5",373.208,33.28,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"1,6",559.056,33.364,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"1,7",559.572,33.3706,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"2,3",552.059,33.7254,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"2,4",556.784,34.204,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"2,5",597.791,34.3953,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"2,6",785.471,34.4916,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"2,7",786.192,34.4965,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"3,4",563.131,34.2166,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"3,5",600.868,34.4108,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"3,6",787.702,34.5074,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"3,7",789.141,34.5134,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"4,5",610.684,34.5525,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"4,6",799.592,34.6476,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"4,7",799.936,34.6505,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"5,6",845.099,34.6278,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"5,7",848.313,34.6302,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,2,"6,7",1030.006,34.6867,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,3,"1,2,3",583.081,32.7054,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,3,"1,2,4",594.058,33.0781,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,3,"1,2,5",638.08,33.2255,"5,6,0,3,4,1,2"
TechnicolorHijack,100,"1,2,3,4,5,8,9",0,3,"1,2,6",823.04,33.301,"5,6,0,3,4,1,2"
